Time (min),Blood Glucose (mg/dl),Sensor Glucose Readings(mg/dl)
797,51.82132543,44.98738152
798,51.65914622,45.23321846
799,51.50820416,45.55639719
800,51.36830977,45.95710891
801,51.2390952,46.43551408
802,51.12000339,46.99173225
803,51.0102884,47.62583235
804,50.90902838,48.18015141
805,50.81515001,48.65463276
806,50.72746212,49.04914897
807,50.64469481,49.36350006
808,50.56554025,49.59741442
809,50.48869154,49.75055234
810,50.41287697,49.82251172
811,50.33688824,49.81283541
812,50.2596018,49.72101973
813,50.17999364,49.54652361
814,50.0971481,49.28877788
815,50.01026167,48.94719434
816,49.9186427,48.52117443
817,49.82170824,48.01011709
818,49.71897852,47.41342592
819,49.61007015,46.90757273
820,49.4946884,46.49198822
821,49.3726191,46.16612381
822,49.24372047,45.92945529
823,49.1079152,45.78148568
824,48.9651828,45.72174745
825,48.81555244,45.74980406
826,48.65909632,45.86525095
827,48.49592358,46.06771608
828,48.32617475,46.35686001
829,48.15001673,46.73237568
830,47.9676383,47.19398782
831,47.7792461,47.74145222
832,47.58506106,48.3745547
833,47.38531526,49.09311
834,47.18024913,49.74423918
835,46.97010905,50.32781092
836,46.75514519,50.84371882
837,46.53560969,51.2918799
838,46.31175506,51.67223318
839,46.08383281,51.9847382
840,45.85209226,52.22937357
841,45.6167796,52.40613556
842,45.37813699,52.51503669
843,45.13640189,52.55610437
844,44.8918065,52.52937961
845,44.64457726,52.43491578
846,44.39493451,52.27277737
847,44.14309218,52.04303891
848,43.8892576,51.74578381
849,43.6336313,51.43214504
850,43.37640697,51.10222086
851,43.11777137,50.75611556
852,42.85790434,50.3939386
853,42.59697884,50.01580382
854,42.33516096,49.62182873
855,42.07261006,49.21213378
856,41.80947885,48.78684175
857,41.54591349,48.34607717
858,41.28205377,47.88996579
859,41.01803325,47.41863404
860,40.75397938,46.93220865
861,40.49001371,46.43081617
862,40.22625206,45.91458265
863,39.96280467,45.38363328
864,39.69977639,44.86310429
865,39.43726688,44.35311827
866,39.17537076,43.85379616
867,38.91417781,43.36525699
868,38.65377313,42.88761773
869,38.39423734,42.42099311
870,38.13564675,41.96549548
871,37.8780735,41.52123468
872,37.62158576,41.08831796
873,37.36624789,40.66684987
874,37.11212056,40.25693221
875,36.85926098,39.85866396
876,36.60772296,39.47214126
877,36.35755714,39.09745736
878,36.10881106,38.73470261
879,35.86152935,38.37198001
880,35.61575383,38.00937413
881,35.37152365,37.64696661
882,35.12887541,37.28483624
883,34.88784328,36.92305898
884,34.64845912,36.56170794
885,34.41075255,36.20085348
886,34.17475112,35.84056319
887,33.94048036,35.480902
888,33.70796389,35.12193217
889,33.47722352,34.76371337
890,33.24827934,34.40630275
891,33.02114978,34.04975495
892,32.79585173,33.69412221
893,32.57240059,33.33945437
894,32.35081034,32.92749924
895,32.13109364,32.45830215
896,31.91326188,32
897,31.69732521,32
898,31.48329269,32
899,31.27117226,32
900,31.06097084,32
901,30.85269438,32
902,30.64634789,32
903,30.44193552,32
904,30.2394606,32
905,30.03892566,32
906,29.84033248,32
907,29.64368215,32
908,29.44897511,32
909,29.25621113,32
910,29.06538944,32
911,28.87650866,32
912,28.6895669,32
913,28.50456179,32
914,28.32149045,32
915,28.14034959,32
916,27.96113547,32
917,27.78384398,32
918,27.60847062,32
919,27.43501054,32
920,27.26345858,32
921,27.09380925,32
922,26.92605678,32
923,26.76019511,32
924,26.59621794,32
925,26.43411873,32
926,26.27389069,32
927,26.11552685,32
928,25.95902003,32
929,25.80436285,32
930,25.65154779,32
931,25.50056714,32
932,25.35141305,32
933,25.20407753,32
934,25.05855248,32
935,24.91482965,32
936,24.77290069,32
937,24.63275716,32
938,24.49439051,32
939,24.35779211,32
940,24.22295326,32
941,24.08986516,32
942,23.95851897,32
943,23.82890578,32
944,23.70101663,32
945,23.5748425,32
946,23.45037434,32
947,23.32760306,32
948,23.20651952,32
949,23.08711457,32
950,22.96937903,32
951,22.85330369,32
952,22.73887933,32
953,22.62609671,32
954,22.51494658,32
955,22.4054197,32
956,22.29750679,32
957,22.1911986,32
958,22.08648587,32
959,21.98335934,32
960,21.88180975,32
961,21.78182787,32
962,21.68340445,32
963,21.58653028,32
964,21.49119614,32
965,21.39739285,32
966,21.30511123,32
967,21.21434212,32
968,21.12507638,32
969,21.0373049,32
970,20.9510186,32
971,20.86620839,32
972,20.78286525,32
973,20.70098015,32
974,20.62054411,32
975,20.54154816,32
976,20.46398339,32
977,20.38784089,32
978,20.31311179,32
979,20.23978725,32
980,20.16785848,32
981,20.0973167,32
982,20.02815318,32
983,19.96035921,32
984,19.89392612,32
985,19.82884529,32
986,19.76510812,32
987,19.70270605,32
988,19.64163055,32
989,19.58187315,32
990,19.52342538,32
991,19.46627884,32
992,19.41042516,32
993,19.35585601,32
994,19.30256307,32
995,19.25053811,32
996,19.19977289,32
997,19.15025925,32
998,19.10198903,32
999,19.05495414,32
1000,19.00914651,32
1001,18.96455812,32
1002,18.92118099,32
1003,18.87900718,32.2087974
1004,18.83802878,33.07856825
1005,18.79823793,33.79811034
1006,18.7596268,34.36741539
1007,18.72218762,34.78647516
1008,18.68591263,35.05528144
1009,18.65079413,35.17382604
1010,18.61682446,35.14210082
1011,18.58399599,34.96009766
1012,18.55230115,34.62780848
1013,18.52173237,34.14522523
1014,18.49228217,33.71633425
1015,18.46394308,33.34112757
1016,18.43670766,33.01959724
1017,18.41056853,32.75173535
1018,18.38551836,32.53753403
1019,18.36154982,32.37698545
1020,18.33865566,32.27008179
1021,18.31682864,32.2168153
1022,18.29606158,32.21717824
1023,18.27634732,32.27116294
1024,18.25767877,32.37876172
1025,18.24004884,32.53996697
1026,18.2234505,32.75477112
1027,18.20787677,33.02316661
1028,18.19332068,33.34514595
